fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,notes
8feb18_1feb18_KAZ_f1_sp1_6_rev,63,3.75,0.059331,10,8feb18_1feb18_KAZ_f1_sp1_6_rev_10,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_6_rev,71,3.5028,0.049512,11,8feb18_1feb18_KAZ_f1_sp1_6_rev_11,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_6_rev,73,5.0189,0.068582,13,8feb18_1feb18_KAZ_f1_sp1_6_rev_13,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_6_rev,62,3.746,0.060226,16,8feb18_1feb18_KAZ_f1_sp1_6_rev_16,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_7_rev,31,5.3797,0.17463,4,8feb18_1feb18_KAZ_f1_sp1_7_rev_4,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_7_rev,78,4.6839,0.05998,14,8feb18_1feb18_KAZ_f1_sp1_7_rev_14,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_7_rev,26,4.7068,0.17778,18,8feb18_1feb18_KAZ_f1_sp1_7_rev_18,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_7_rev,99,4.2204,0.042801,19,8feb18_1feb18_KAZ_f1_sp1_7_rev_19,0,,,broken,,,,,
8feb18_1feb18_KAZ_f1_sp1_9_rev,63,2.8605,0.045236,11,8feb18_1feb18_KAZ_f1_sp1_9_rev_11,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_9_rev,70,8.5294,0.12198,12,8feb18_1feb18_KAZ_f1_sp1_9_rev_12,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_9_rev,47,5.1368,0.10992,16,8feb18_1feb18_KAZ_f1_sp1_9_rev_16,0,,,,,,,,
8feb18_1feb18_KAZ_f1_sp1_9_rev,56,4.5161,0.079978,20,8feb18_1feb18_KAZ_f1_sp1_9_rev_20,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_1_rev,78,2.7114,0.034847,4,8jun15_23apr15_PWD_f2_sp1_1_rev_4,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_1_rev,74,5.7151,0.077028,15,8jun15_23apr15_PWD_f2_sp1_1_rev_15,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,68,4.1175,0.060124,1,8jun15_23apr15_PWD_f2_sp1_10_rev_1,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,119,6.6108,0.055442,10,8jun15_23apr15_PWD_f2_sp1_10_rev_10,0,,,,,,,,
8jun15_23apr15_PWD_f2_sp1_10_rev,118,6.8055,0.057807,12,8jun15_23apr15_PWD_f2_sp1_10_rev_12,0,,,,,,,,
