fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3
20jul15_18may15_PWD_m1_sp1_24_rev,3.8533,0.041704,0.66313,92,3,16,20jul15_18may15_PWD_m1_sp1_24_rev_16,1,0,,,1,71,,
20jul15_18may15_PWD_m1_sp1_24_rev,3.5783,0.028144,0.75437,127,6,8,20jul15_18may15_PWD_m1_sp1_24_rev_8,1,0,,,1,70,,
20jul15_18may15_PWD_m1_sp1_28_rev,4.1293,0.054678,0.78359,76,1,1,20jul15_18may15_PWD_m1_sp1_28_rev_1,1,1,,,1,49,,
20jul15_18may15_PWD_m1_sp1_28_rev,4.2163,0.075464,0.70145,56,1,10,20jul15_18may15_PWD_m1_sp1_28_rev_10,1,1,,,1,27,,
20jul15_18may15_PWD_m1_sp1_28_rev,5.1429,0.059167,0.73838,87,1,6,20jul15_18may15_PWD_m1_sp1_28_rev_6,1,1,,,1,66,,
20jul15_18may15_PWD_m1_sp1_28_rev,3.125,0.034139,0.81184,92,1,7,20jul15_18may15_PWD_m1_sp1_28_rev_7,1,1,,,1,58,,
20jul15_18may15_PWD_m1_sp1_29.1_rev,7.6059,0.13875,0.7335,55,1,6,20jul15_18may15_PWD_m1_sp1_29.1_rev_6,1,1,,,1,44,,
20jul15_18may15_PWD_m1_sp1_29.2_rev,4.3627,0.048909,0.56251,89,1,5,20jul15_18may15_PWD_m1_sp1_29.2_rev_5,1,1,,,1,55,,
20jul15_18may15_PWD_m1_sp1_29.3_rev,3.055,0.034005,0.58855,90,1,11,20jul15_18may15_PWD_m1_sp1_29.3_rev_11,1,1,,,1,56,,
20jul15_18may15_PWD_m1_sp1_29.3_rev,6.181,0.10263,0.57115,60,1,15,20jul15_18may15_PWD_m1_sp1_29.3_rev_15,1,1,,,1,31,,
20jul15_18may15_PWD_m1_sp1_30_rev,7.1816,0.11966,0.82285,60,2,17,20jul15_18may15_PWD_m1_sp1_30_rev_17,1,0,,,1,54,,
20jul15_18may15_PWD_m1_sp1_30_rev,6.7224,0.092092,0.89209,73,4,6,20jul15_18may15_PWD_m1_sp1_30_rev_6,1,0,,,1,37,,
20jul15_18may15_PWD_m1_sp1_30_rev,6.0367,0.063289,0.82953,95,4,8,20jul15_18may15_PWD_m1_sp1_30_rev_8,1,0,,,1,50,,
20jul15_18may15_PWD_m1_sp1_6_rev,3.6494,0.042345,0.82465,86,7,1,20jul15_18may15_PWD_m1_sp1_6_rev_1,1,0,,2 cells but good segmentaion,1,63,,
20jul15_18may15_PWD_m1_sp1_6_rev,3.0468,0.048122,0.80107,63,3,13,20jul15_18may15_PWD_m1_sp1_6_rev_13,1,0,,,1,17,,
20jul15_18may15_PWD_m1_sp1_6_rev,4.2581,0.044615,0.78055,95,2,22,20jul15_18may15_PWD_m1_sp1_6_rev_22,1,0,,,1,69,,
20jul15_18may15_PWD_m1_sp1_6_rev,5.333,0.067527,0.77603,79,6,27,20jul15_18may15_PWD_m1_sp1_6_rev_27,1,0,,,1,56,,
20jul15_18may15_PWD_m1_sp1_6_rev,6.9353,0.073634,0.82498,94,7,3,20jul15_18may15_PWD_m1_sp1_6_rev_3,1,0,,,1,63,,
20jul15_18may15_PWD_m1_sp1_6_rev,3.9924,0.042167,0.74773,95,1,7,20jul15_18may15_PWD_m1_sp1_6_rev_7,1,1,,,1,39,,
20jul15_18may15_PWD_m1_sp1_9.1_rev,7.1571,0.11618,0.76363,62,3,11,20jul15_18may15_PWD_m1_sp1_9.1_rev_11,1,0,0,,1,60,,
20jul15_18may15_PWD_m1_sp1_9.1_rev,8.4525,0.067452,0.82777,125,10,8,20jul15_18may15_PWD_m1_sp1_9.1_rev_8,1,0,0,,1,81,,
20jul15_18may15_PWD_m2_sp1_10.2_rev,7.422,0.10152,0.57639,73,1,12,20jul15_18may15_PWD_m2_sp1_10.2_rev_12,1,1,1,,1,66,,
