"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","avergeRED","numberCrossOvers","boxNumber","foci_ABS_Position_1","Obj.ID","mouse","strain","subsp","sex","category","SC.pass","foci.pass","curated.1pass.0fail","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes"
"12oct18_26sep18_CZECH_m1_sp1_12.1_rev",92,5.9217,0.064679,0.51397,8,9,6,"12oct18_26sep18_CZECH_m1_sp1_12.1_rev_9","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",65,5.8057,0.089847,0.60448,5,1,7,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_1","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",94,4.9661,0.05259,0.53533,6,10,6,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_10","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",75,4.613,0.061704,0.53748,8,11,5,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_11","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",96,4.6309,0.048175,0.52372,5,12,5,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_12","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",57,2.8986,0.051298,0.55652,6,13,3,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_13","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",46,4.5841,0.10001,0.55596,3,14,6,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_14","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",67,5.7837,0.086488,0.53885,4,16,6,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_16","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",51,6.0597,0.11791,0.61574,5,2,6,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_2","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
"12oct18_26sep18_CZECH_m1_sp1_12.2_rev",96,5.1363,0.053738,0.61491,8,3,3,"12oct18_26sep18_CZECH_m1_sp1_12.2_rev_3","26sep18_CZECH_m1","CZECH","Musc","male","CZECH male","","","","","","","","",""
