return5,fileName,boxNumber,centromere,SC length,rank,chrm.class,hand.foci.count,F1,F2,F3,notes,,
,27oct16_31aug16_MSM_m1_sp1_11,blob_13,,101.553,,autosome,1,67.988,,,,,
,27oct16_31aug16_MSM_m1_sp1_9_rev,blob5,,74.177,,autosome,1,67.804,,,,,
,27oct16_31aug16_MSM_m1_sp1_19,blob_8,,117.23,,autosome,1,67.437,,,,,
,27oct16_31aug16_MSM_m1_sp1_26,blob_4,,74.494,,autosome,1,67.404,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob3,,76.398,,autosome,1,67.393,,,,,
,30mar15_13oct14_G_f1_sp1_1.1_rev,blob2,,82.893,,autosome,1,67.385,,,,,
,28jul15_22jun15_G_m2_sp1_3_rev,blob1,,71.013,,autosome,1,67.213,,,,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob13,,69.603,,autosome,1,67.14,,,maybe 2CO,,
,22nov16_30sep16_MSM_f2_sp1_22_rev,blob17,,86.412,,autosome,1,67.087,,,,,
,28jul15_22jun15_G_m2_sp1_3_rev,blob5,,94.828,,autosome,1,67.073,,,,,
,8jun15_23apr15_PWD_f2_sp1_20_rev,blob10,,80.922,,autosome,1,67.053,,,,,
,20jul15_18may15_PWD_m1_sp1_6.1_rev,blob6,,99.932,,autosome,1,66.724,,,,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob20,,107.759,,autosome,1,66.539,,,broken,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob10,,73.358,,autosome,1,66.519,,,,,
"3,5,6,7,8,11",29nov16_13nov16_MSM_m2_sp1_13,blob_3,,78.414,,autosome,1,66.351,,,,,
,27oct16_31aug16_MSM_m1_sp1_26,blob_11,,96.328,,autosome,1,66,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob16,,94.144,,autosome,1,65.988,,,Maybe 2CO,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_18,,79.233,,autosome,1,65.768,,,,,
,12jan17_4jan17_LEW_f1_sp1_22_rev,blob13,,98.746,,autosome,1,65.663,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob2,,70.31,,autosome,1,65.638,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob11,,104.74,,autosome,1,65.333,,,,,
,30jul15_12jun15_WSB_m2_sp1_7.2_rev,blob11,,69.242,,autosome,1,65.31,,,maybe 2CO,,
,15sep15_16jun15_WSB_f3_sp2_1_rev,blob13,,73.18,,autosome,1,65.117,,,,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob19,,77.269,,autosome,1,64.87,,,,,
,29nov16_13nov16_MSM_m2_sp1_13_rev,blob3,,75.844,,autosome,1,64.8,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob12,,67.947,,autosome,1,64.755,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob12,,95.733,,autosome,1,64.382,,,,,
,14oct16_30jun16_CAST_m3_sp1_3.2,blob_10,,72.211,12,autosome,1,64.346,,,,,
,27oct16_31aug16_MSM_m1_sp1_18_rev,blob6,,105.919,,autosome,1,64.299,,,,,
,22nov16_30sep16_MSM_f2_sp1_13.1_rev,blob14,,81.142,,autosome,1,64.258,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob20,,70.461,,autosome,1,63.627,,,,,
,5aug17_14jul17_LEW_f1_sp1_11_rev,blob17,,107.384,,autosome,1,63.254,,,,,
,27oct16_31aug16_MSM_m1_sp1_18_rev,blob7,,110.297,,autosome,1,63.217,,,,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob12,,87.168,,autosome,1,63.112,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob1,,71.781,,autosome,1,63.107,,,,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob9,,75.195,,autosome,1,63.049,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_1,,78.876,,autosome,1,62.894,,,,,
,7feb17_20dec16_LEW_m2_sp1_25_rev,blob19,,71.587,,autosome,1,62.891,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_5,,102.11,,autosome,1,62.819,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob7,,66.164,,autosome,1,62.749,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob14,,80.068,,autosome,1,62.728,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob18,,86.044,,autosome,1,62.701,,,,,
,27oct16_31aug16_MSM_m1_sp1_11,blob_2,,66.51,,autosome,1,62.596,,,,,
,2aug15_8jun15_G_f4_sp1_18_rev,blob17,,79.084,,autosome,1,62.591,,,,,
,13jul15_12jun15_WSB_f1_sp1_13_rev,blob8,,105.855,,autosome,1,62.4,,,,,
,18mar15_10mar15_WSB_m1_sp1_13_rev,blob11,,63.118,,autosome,1,62.241,,,,,
,20jul15_18may15_PWD_m1_sp1_6.1_rev,blob1,,83.527,,autosome,1,62.022,,,,,
,22nov16_13nov16_MSM_f2_sp1_18,blob_4,,79.825,,autosome,1,61.849,,,,,
,28jul15_22jun15_G_m2_sp1_3_rev,blob4,,76.389,,autosome,1,61.73,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob2,,67.714,,autosome,1,61.64,,,,,
"3,5,6,7,8,18",29nov16_13nov16_MSM_m2_sp1_13,blob_10,,74.243,,autosome,1,61.414,,,,,
,4dec14_8oct14_PWD_f1_sp1_12_rev,blob18,,125.543,,autosome,1,61.236,,,,,
,1oct16_30jun16_CAST_m3_sp1_m3_5.1,blob_4,,66.149,,autosome,1,61.151,,,,,
,30mar15_13oct14_G_f1_sp1_1.1_rev,blob10,,88.28,,autosome,1,60.864,,,,,
,29nov16_13nov16_MSM_m2_sp1_13_rev,blob9,,73.75,,autosome,1,60.83,,,,,
,30jul15_12jun15_WSB_m2_sp1_3_rev,blob17,,83.063,,autosome,1,60.805,,,,,
,2apr15_14sep14_WSB_f1_sp1_15_rev,blob13,,98.104,,autosome,1,60.647,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob13,,85.783,,autosome,1,60.309,,,SC slightly broken,,
,3aug17_8may17_LEW_m2_sp1_5_rev,blob7,,78.347,,autosome,1,60.107,,,,,
,1mar16_3jan16_G_m2_sp1_19.3_rev,blob20,,69.406,,autosome,1,60.105,,,,,
,3aug17_8may17_LEW_m2_sp1_3_rev,blob7,,87.095,,autosome,1,60.051,,,,,
,4dec14_8oct14_PWD_f1_sp1_16_rev,blob14,,78.63,,autosome,1,59.998,,,shadow at the end,,
,3aug17_8may17_LEW_m2_sp1_3_rev,blob6,,74.377,,autosome,1,59.699,,,,,
,28jul15_22jun15_G_m2_sp1_19_rev,blob19,,68.829,,autosome,1,59.654,,,,,
,27oct16_31aug16_MSM_m1_sp1_9_rev,blob3,,97.379,,autosome,1,59.602,,,,,
,20jul15_18may15_PWD_m1_sp1_6.1_rev,blob2,,88.724,,autosome,1,59.552,,,,,
,28jul15_22jun15_G_m2_sp1_19_rev,blob9,,75.456,,autosome,1,59.54,,,maybe 2CO,,
,27oct16_31aug16_MSM_m1_sp1_11,blob_3,,71.696,,autosome,1,59.411,,,,,
,27jul15_22jun15_G_m2_sp1_8_rev,blob14,,69.488,,autosome,1,59.322,,,,,
