fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,Obj.ID,mouse,category,strain,sex,subsp
20jul15_18may15_PWD_m1_sp1_15_rev,4.9065,0.079931,0.85004,61,4,3,20jul15_18may15_PWD_m1_sp1_15_rev_3,1,0,,,1,55,,,20jul15_18may15_PWD_m1_sp1_15_rev_3,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,3.3753,0.036759,0.6991,92,3,31,20jul15_18may15_PWD_m1_sp1_15_rev_31,1,0,,,2,30,84,,20jul15_18may15_PWD_m1_sp1_15_rev_31,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,5.8908,0.10387,0.73333,57,1,33,20jul15_18may15_PWD_m1_sp1_15_rev_33,1,1,,,1,25,,,20jul15_18may15_PWD_m1_sp1_15_rev_33,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,9.0909,0.13179,0.66039,69,2,34,20jul15_18may15_PWD_m1_sp1_15_rev_34,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_15_rev_34,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,11.3052,0.17858,0.76207,63,1,4,20jul15_18may15_PWD_m1_sp1_15_rev_4,1,1,,,1,41,,,20jul15_18may15_PWD_m1_sp1_15_rev_4,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,5.0999,0.062676,0.82905,81,6,5,20jul15_18may15_PWD_m1_sp1_15_rev_5,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_15_rev_5,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,5.1096,0.054607,0.8614,94,5,6,20jul15_18may15_PWD_m1_sp1_15_rev_6,1,0,,,2,19,80,,20jul15_18may15_PWD_m1_sp1_15_rev_6,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,6.9221,0.072416,0.80327,96,4,7,20jul15_18may15_PWD_m1_sp1_15_rev_7,1,0,,,2,26,82,,20jul15_18may15_PWD_m1_sp1_15_rev_7,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_15_rev,3.1985,0.036737,0.80676,87,4,8,20jul15_18may15_PWD_m1_sp1_15_rev_8,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_15_rev_8,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.6174,0.064104,0.77099,72,9,1,20jul15_18may15_PWD_m1_sp1_17_rev_1,0,,,"seems like more than 2 cells, but good segmentation",,,,,20jul15_18may15_PWD_m1_sp1_17_rev_1,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2.8147,0.043635,0.80585,65,2,10,20jul15_18may15_PWD_m1_sp1_17_rev_10,1,0,,,1,56,,,20jul15_18may15_PWD_m1_sp1_17_rev_10,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.3582,0.055243,0.75614,97,6,11,20jul15_18may15_PWD_m1_sp1_17_rev_11,1,0,,,2,12,89,,20jul15_18may15_PWD_m1_sp1_17_rev_11,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2.9032,0.044358,0.75519,65,3,12,20jul15_18may15_PWD_m1_sp1_17_rev_12,1,0,,,2,16,50,,20jul15_18may15_PWD_m1_sp1_17_rev_12,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,3.0297,0.040641,0.78065,75,2,13,20jul15_18may15_PWD_m1_sp1_17_rev_13,1,0,,,1,30,,,20jul15_18may15_PWD_m1_sp1_17_rev_13,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2.1538,0.028535,0.75341,75,2,14,20jul15_18may15_PWD_m1_sp1_17_rev_14,1,0,,,1,19,,,20jul15_18may15_PWD_m1_sp1_17_rev_14,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.6287,0.044549,0.79505,104,2,15,20jul15_18may15_PWD_m1_sp1_17_rev_15,1,1,,,2,14,87,,20jul15_18may15_PWD_m1_sp1_17_rev_15,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.8498,0.055627,0.78692,87,3,16,20jul15_18may15_PWD_m1_sp1_17_rev_16,1,0,,,2,25,63,,20jul15_18may15_PWD_m1_sp1_17_rev_16,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.2169,0.044367,0.72554,95,2,17,20jul15_18may15_PWD_m1_sp1_17_rev_17,1,1,,,2,15,72,,20jul15_18may15_PWD_m1_sp1_17_rev_17,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,1.7391,0.025912,0.76268,67,2,18,20jul15_18may15_PWD_m1_sp1_17_rev_18,1,1,,,2,10,53,,20jul15_18may15_PWD_m1_sp1_17_rev_18,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2.9104,0.024158,0.81894,120,7,19,20jul15_18may15_PWD_m1_sp1_17_rev_19,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_17_rev_19,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,3.1997,0.033368,0.775,96,2,2,20jul15_18may15_PWD_m1_sp1_17_rev_2,1,1,,,2,28,88,,20jul15_18may15_PWD_m1_sp1_17_rev_2,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,3.1655,0.040823,0.76053,78,5,20,20jul15_18may15_PWD_m1_sp1_17_rev_20,1,0,,,2,20,70,,20jul15_18may15_PWD_m1_sp1_17_rev_20,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.7292,0.076,0.78125,75,3,22,20jul15_18may15_PWD_m1_sp1_17_rev_22,1,0,,,2,31,65,,20jul15_18may15_PWD_m1_sp1_17_rev_22,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,3.1071,0.044557,0.7933,70,3,23,20jul15_18may15_PWD_m1_sp1_17_rev_23,1,0,,,1,42,,,20jul15_18may15_PWD_m1_sp1_17_rev_23,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,3.9558,0.077914,0.7956,51,1,24,20jul15_18may15_PWD_m1_sp1_17_rev_24,1,1,,,1,45,,,20jul15_18may15_PWD_m1_sp1_17_rev_24,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2.5613,0.044522,0.70588,58,2,25,20jul15_18may15_PWD_m1_sp1_17_rev_25,1,0,,,1,13,,,20jul15_18may15_PWD_m1_sp1_17_rev_25,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2,0.022138,0.7129,90,2,29,20jul15_18may15_PWD_m1_sp1_17_rev_29,1,1,,,2,26,83,,20jul15_18may15_PWD_m1_sp1_17_rev_29,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.1447,0.04756,0.78328,87,3,3,20jul15_18may15_PWD_m1_sp1_17_rev_3,1,0,,,2,40,78,,20jul15_18may15_PWD_m1_sp1_17_rev_3,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.0501,0.055677,0.69079,91,2,30,20jul15_18may15_PWD_m1_sp1_17_rev_30,1,1,,,2,29,77,,20jul15_18may15_PWD_m1_sp1_17_rev_30,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.3389,0.048772,0.68309,109,3,31,20jul15_18may15_PWD_m1_sp1_17_rev_31,1,0,,,1,63,,,20jul15_18may15_PWD_m1_sp1_17_rev_31,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.5952,0.096351,0.70057,48,1,32,20jul15_18may15_PWD_m1_sp1_17_rev_32,1,1,,,1,22,,,20jul15_18may15_PWD_m1_sp1_17_rev_32,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,6.119,0.097011,0.69063,63,1,33,20jul15_18may15_PWD_m1_sp1_17_rev_33,1,1,,,1,55,,,20jul15_18may15_PWD_m1_sp1_17_rev_33,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.641,0.059998,0.65368,94,2,37,20jul15_18may15_PWD_m1_sp1_17_rev_37,1,1,,,2,18,71,,20jul15_18may15_PWD_m1_sp1_17_rev_37,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,8.4507,0.11033,0.64202,77,4,38,20jul15_18may15_PWD_m1_sp1_17_rev_38,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_17_rev_38,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,4.8501,0.040785,0.77146,119,2,4,20jul15_18may15_PWD_m1_sp1_17_rev_4,1,1,,,2,35,112,,20jul15_18may15_PWD_m1_sp1_17_rev_4,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,2.6494,0.039756,0.77599,67,2,5,20jul15_18may15_PWD_m1_sp1_17_rev_5,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_17_rev_5,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.2754,0.089742,0.80151,59,3,6,20jul15_18may15_PWD_m1_sp1_17_rev_6,1,0,,,2,11,41,,20jul15_18may15_PWD_m1_sp1_17_rev_6,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,3.6281,0.02285,0.81547,159,5,7,20jul15_18may15_PWD_m1_sp1_17_rev_7,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_17_rev_7,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_17_rev,5.8847,0.06978,0.78868,84,1,9,20jul15_18may15_PWD_m1_sp1_17_rev_9,1,1,,,1,42,,,20jul15_18may15_PWD_m1_sp1_17_rev_9,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,4.6764,0.037306,0.60328,125,2,1,20jul15_18may15_PWD_m1_sp1_19_rev_1,1,1,1,,2,47,112,,20jul15_18may15_PWD_m1_sp1_19_rev_1,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,2.8571,0.02591,0.61563,110,2,10,20jul15_18may15_PWD_m1_sp1_19_rev_10,1,1,1,,2,20,98,,20jul15_18may15_PWD_m1_sp1_19_rev_10,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,15.216,0.16062,0.59,95,2,12,20jul15_18may15_PWD_m1_sp1_19_rev_12,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_12,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,3.6369,0.12657,0.62914,29,4,13,20jul15_18may15_PWD_m1_sp1_19_rev_13,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_13,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,3.3846,0.083938,0.59224,40,1,15,20jul15_18may15_PWD_m1_sp1_19_rev_15,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_15,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,4.9467,0.036863,0.65797,134,2,2,20jul15_18may15_PWD_m1_sp1_19_rev_2,1,1,1,,2,12,125,,20jul15_18may15_PWD_m1_sp1_19_rev_2,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,7.1758,0.056219,0.69601,128,3,3,20jul15_18may15_PWD_m1_sp1_19_rev_3,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_3,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,5.596,0.099827,0.5933,56,1,4,20jul15_18may15_PWD_m1_sp1_19_rev_4,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_4,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,11.3043,0.15939,0.64445,71,3,6,20jul15_18may15_PWD_m1_sp1_19_rev_6,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_6,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,9.0374,0.12114,0.70689,75,1,7,20jul15_18may15_PWD_m1_sp1_19_rev_7,1,1,1,,1,56,,,20jul15_18may15_PWD_m1_sp1_19_rev_7,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_19_rev,0.31746,0.0042264,0.59669,75,2,9,20jul15_18may15_PWD_m1_sp1_19_rev_9,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_19_rev_9,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,1.5213,0.017308,0.8119,88,6,1,20jul15_18may15_PWD_m1_sp1_20.2_rev_1,1,0,,,1,79,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_1,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.1186,0.045933,0.67804,90,4,10,20jul15_18may15_PWD_m1_sp1_20.2_rev_10,1,0,,,1,42,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_10,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.0164,0.034392,0.71442,88,2,11,20jul15_18may15_PWD_m1_sp1_20.2_rev_11,1,1,,,2,15,78,,20jul15_18may15_PWD_m1_sp1_20.2_rev_11,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.6605,0.051738,0.64459,90,10,13,20jul15_18may15_PWD_m1_sp1_20.2_rev_13,1,,,foci are faint,,,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_13,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,5.6677,0.084452,0.71464,67,5,14,20jul15_18may15_PWD_m1_sp1_20.2_rev_14,1,,,foci are faint,,,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_14,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.4147,0.058867,0.68179,75,6,16,20jul15_18may15_PWD_m1_sp1_20.2_rev_16,1,,,foci are faint,,,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_16,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,5.7879,0.10314,0.64627,56,3,19,20jul15_18may15_PWD_m1_sp1_20.2_rev_19,1,0,,?,,,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_19,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.5621,0.059204,0.77906,77,4,2,20jul15_18may15_PWD_m1_sp1_20.2_rev_2,1,0,,,1,69,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_2,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.7869,0.076169,0.66993,50,2,20,20jul15_18may15_PWD_m1_sp1_20.2_rev_20,,,,,,,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_20,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.4925,0.045678,0.75432,98,1,3,20jul15_18may15_PWD_m1_sp1_20.2_rev_3,1,1,,,1,77,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_3,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.9743,0.043031,0.73468,92,4,4,20jul15_18may15_PWD_m1_sp1_20.2_rev_4,1,1,,,1,45,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_4,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,5.3724,0.11501,0.77506,47,5,5,20jul15_18may15_PWD_m1_sp1_20.2_rev_5,,,,,,,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_5,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.0103,0.037837,0.77383,80,3,6,20jul15_18may15_PWD_m1_sp1_20.2_rev_6,1,0,,,1,30,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_6,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_20.2_rev,1.2698,0.013596,0.75031,93,2,7,20jul15_18may15_PWD_m1_sp1_20.2_rev_7,1,0,,,1,90,,,20jul15_18may15_PWD_m1_sp1_20.2_rev_7,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,3.0986,0.050232,0.79032,62,1,1,20jul15_18may15_PWD_m1_sp1_21_rev_1,1,1,,,1,50,,,20jul15_18may15_PWD_m1_sp1_21_rev_1,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,7.4041,0.078838,0.70538,94,2,11,20jul15_18may15_PWD_m1_sp1_21_rev_11,1,0,,,1,88,,,20jul15_18may15_PWD_m1_sp1_21_rev_11,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,4,0.046763,0.69531,86,2,12,20jul15_18may15_PWD_m1_sp1_21_rev_12,1,0,,,1,58,,,20jul15_18may15_PWD_m1_sp1_21_rev_12,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,3.2312,0.045272,0.71432,71,3,14,20jul15_18may15_PWD_m1_sp1_21_rev_14,1,0,,,1,47,,,20jul15_18may15_PWD_m1_sp1_21_rev_14,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,4.1029,0.039389,0.71411,104,3,15,20jul15_18may15_PWD_m1_sp1_21_rev_15,1,0,,,2,25,98,,20jul15_18may15_PWD_m1_sp1_21_rev_15,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,3.2836,0.025173,0.76812,130,3,2,20jul15_18may15_PWD_m1_sp1_21_rev_2,1,0,,,2,67,128,,20jul15_18may15_PWD_m1_sp1_21_rev_2,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,4.9883,0.031707,0.76113,157,5,3,20jul15_18may15_PWD_m1_sp1_21_rev_3,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_21_rev_3,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_21_rev,1.2121,0.011829,0.7293,102,2,5,20jul15_18may15_PWD_m1_sp1_21_rev_5,1,0,,,1,77,,,20jul15_18may15_PWD_m1_sp1_21_rev_5,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,4.4892,0.043118,0.72896,104,4,1,20jul15_18may15_PWD_m1_sp1_22_rev_1,1,0,,foci sorta bright,2,26,84,,20jul15_18may15_PWD_m1_sp1_22_rev_1,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,3.1856,0.059035,0.74201,54,4,10,20jul15_18may15_PWD_m1_sp1_22_rev_10,1,0,,,1,30,,,20jul15_18may15_PWD_m1_sp1_22_rev_10,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,3.4774,0.039229,0.71988,89,6,11,20jul15_18may15_PWD_m1_sp1_22_rev_11,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_22_rev_11,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,2.4242,0.021765,0.67422,111,9,13,20jul15_18may15_PWD_m1_sp1_22_rev_13,1,0,0,,2,26,91,,20jul15_18may15_PWD_m1_sp1_22_rev_13,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,3.1889,0.032977,0.70446,97,7,14,20jul15_18may15_PWD_m1_sp1_22_rev_14,1,0,0,,2,20,72,,20jul15_18may15_PWD_m1_sp1_22_rev_14,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,9.552,0.12207,0.6589,78,2,16,20jul15_18may15_PWD_m1_sp1_22_rev_16,0,,,,,,,,20jul15_18may15_PWD_m1_sp1_22_rev_16,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,4.9368,0.045533,0.6907,108,4,17,20jul15_18may15_PWD_m1_sp1_22_rev_17,1,0,0,,2,32,104,,20jul15_18may15_PWD_m1_sp1_22_rev_17,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,5.4392,0.062581,0.65997,87,3,18,20jul15_18may15_PWD_m1_sp1_22_rev_18,1,0,0,,2,17,78,,20jul15_18may15_PWD_m1_sp1_22_rev_18,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,3.7513,0.037999,0.75094,99,7,2,20jul15_18may15_PWD_m1_sp1_22_rev_2,1,0,0,,2,21,82,,20jul15_18may15_PWD_m1_sp1_22_rev_2,18may15_PWD_m1,PWD male,PWD,male,Musc
20jul15_18may15_PWD_m1_sp1_22_rev,4.5625,0.060186,0.74257,76,6,3,20jul15_18may15_PWD_m1_sp1_22_rev_3,1,0,0,,1,22,,,20jul15_18may15_PWD_m1_sp1_22_rev_3,18may15_PWD_m1,PWD male,PWD,male,Musc
