fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,avergeRED,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,foci_ABS_Position_1,mouse,strain,sex,category,Obj.ID
26jan18_11jan18_KAZ_m3_sp1_16_rev,49,5.5376,0.11319,0.55332,5,3,26jan18_11jan18_KAZ_m3_sp1_16_rev_3,0,,,,,,,,4,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_3
26jan18_11jan18_KAZ_m3_sp1_16_rev,79,10.3744,0.13071,0.56803,4,4,26jan18_11jan18_KAZ_m3_sp1_16_rev_4,0,,,,,,,,7,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_4
26jan18_11jan18_KAZ_m3_sp1_16_rev,59,5.4311,0.092435,0.55591,2,5,26jan18_11jan18_KAZ_m3_sp1_16_rev_5,1,0,0,,1,46,,,46,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_5
26jan18_11jan18_KAZ_m3_sp1_16_rev,92,5.4719,0.059326,0.52033,1,6,26jan18_11jan18_KAZ_m3_sp1_16_rev_6,1,1,1,,1,51,,,51,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_6
26jan18_11jan18_KAZ_m3_sp1_16_rev,185,9.8055,0.053085,0.54448,19,7,26jan18_11jan18_KAZ_m3_sp1_16_rev_7,0,,,,,,,,16,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_7
26jan18_11jan18_KAZ_m3_sp1_16_rev,91,2.9851,0.032901,0.5385,4,8,26jan18_11jan18_KAZ_m3_sp1_16_rev_8,1,0,0,,2,39,66,,2,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_8
26jan18_11jan18_KAZ_m3_sp1_16_rev,73,4.4418,0.060719,0.56184,3,9,26jan18_11jan18_KAZ_m3_sp1_16_rev_9,1,0,0,,1,47,,,13,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_16_rev_9
26jan18_11jan18_KAZ_m3_sp1_17_rev,82,5.0413,0.061194,0.60172,3,1,26jan18_11jan18_KAZ_m3_sp1_17_rev_1,1,0,0,,2,53,62,,32,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_1
26jan18_11jan18_KAZ_m3_sp1_17_rev,105,5.2749,0.050238,0.54297,10,10,26jan18_11jan18_KAZ_m3_sp1_17_rev_10,0,,,,,,,,7,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_10
26jan18_11jan18_KAZ_m3_sp1_17_rev,86,2.029,0.02352,0.5513,8,11,26jan18_11jan18_KAZ_m3_sp1_17_rev_11,1,0,0,,1,84,,,0,11jan18_KAZ_m3,KAZ,male,KAZ male,26jan18_11jan18_KAZ_m3_sp1_17_rev_11
