fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.3333,0.041502,0.56368,80,6,20,5jun18_21may18_KAZ_m2_sp1_15.2_rev_20,1,0,,,1,68,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.4375,0.044929,0.58048,77,5,21,5jun18_21may18_KAZ_m2_sp1_15.2_rev_21,1,0,,,1,14,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.6676,0.049981,0.52397,73,3,22,5jun18_21may18_KAZ_m2_sp1_15.2_rev_22,1,0,,,1,45,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,4.2114,0.050536,0.5567,83,4,23,5jun18_21may18_KAZ_m2_sp1_15.2_rev_23,1,0,,,1,54,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.6645,0.059246,0.53632,62,1,24,5jun18_21may18_KAZ_m2_sp1_15.2_rev_24,1,1,,,1,58,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.7302,0.050561,0.61102,74,2,4,5jun18_21may18_KAZ_m2_sp1_15.2_rev_4,1,0,,other faint foci near end,1,46,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,1.9048,0.063502,0.65638,30,4,5,5jun18_21may18_KAZ_m2_sp1_15.2_rev_5,0,,X,incomplete piece,,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,2.5397,0.036429,0.67919,70,1,6,5jun18_21may18_KAZ_m2_sp1_15.2_rev_6,1,1,,,1,60,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,4.5956,0.05864,0.5606,78,2,7,5jun18_21may18_KAZ_m2_sp1_15.2_rev_7,1,0,,,1,24,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,5.839,0.11253,0.55618,52,4,8,5jun18_21may18_KAZ_m2_sp1_15.2_rev_8,0,,X,incomplete piece,,,,
5jun18_21may18_KAZ_m2_sp1_15.2_rev,3.7933,0.11522,0.58619,33,2,9,5jun18_21may18_KAZ_m2_sp1_15.2_rev_9,0,,X,incomplete piece,,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,3.4921,0.046415,0.54312,75,1,1,5jun18_21may18_KAZ_m2_sp1_18_rev_1,1,1,,,1,70,,
5jun18_21may18_KAZ_m2_sp1_18_rev,5.0501,0.065233,0.53753,77,2,10,5jun18_21may18_KAZ_m2_sp1_18_rev_10,1,0,,,0,,,
5jun18_21may18_KAZ_m2_sp1_18_rev,3.5484,0.032266,0.53727,110,1,11,5jun18_21may18_KAZ_m2_sp1_18_rev_11,1,1,,,1,35,,
5jun18_21may18_KAZ_m2_sp1_18_rev,3.9815,0.048323,0.53395,82,2,12,5jun18_21may18_KAZ_m2_sp1_18_rev_12,1,0,,,1,73,,
5jun18_21may18_KAZ_m2_sp1_18_rev,3.0986,0.032362,0.51538,96,4,13,5jun18_21may18_KAZ_m2_sp1_18_rev_13,1,0,,,1,40,,
