fileName,centromere_ABS_Position,centromere_PER_Position,avergeRED,chromosomeLength,numberCrossOvers,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,mouse,strain,sex,category
20jul15_18may15_PWD_m1_sp1_17_rev,5.3389,0.048772,0.68309,109,3,31,20jul15_18may15_PWD_m1_sp1_17_rev_31,1,0,,,1,63,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,4.5952,0.096351,0.70057,48,1,32,20jul15_18may15_PWD_m1_sp1_17_rev_32,1,1,,,1,22,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,6.119,0.097011,0.69063,63,1,33,20jul15_18may15_PWD_m1_sp1_17_rev_33,1,1,,,1,55,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,5.641,0.059998,0.65368,94,2,37,20jul15_18may15_PWD_m1_sp1_17_rev_37,1,1,,,2,18,71,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,8.4507,0.11033,0.64202,77,4,38,20jul15_18may15_PWD_m1_sp1_17_rev_38,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,4.8501,0.040785,0.77146,119,2,4,20jul15_18may15_PWD_m1_sp1_17_rev_4,1,1,,,2,35,112,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,2.6494,0.039756,0.77599,67,2,5,20jul15_18may15_PWD_m1_sp1_17_rev_5,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,5.2754,0.089742,0.80151,59,3,6,20jul15_18may15_PWD_m1_sp1_17_rev_6,1,0,,,2,11,41,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,3.6281,0.02285,0.81547,159,5,7,20jul15_18may15_PWD_m1_sp1_17_rev_7,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_17_rev,5.8847,0.06978,0.78868,84,1,9,20jul15_18may15_PWD_m1_sp1_17_rev_9,1,1,,,1,42,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,4.6764,0.037306,0.60328,125,2,1,20jul15_18may15_PWD_m1_sp1_19_rev_1,1,1,1,,2,47,112,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,2.8571,0.02591,0.61563,110,2,10,20jul15_18may15_PWD_m1_sp1_19_rev_10,1,1,1,,2,20,98,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,15.216,0.16062,0.59,95,2,12,20jul15_18may15_PWD_m1_sp1_19_rev_12,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,3.6369,0.12657,0.62914,29,4,13,20jul15_18may15_PWD_m1_sp1_19_rev_13,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,3.3846,0.083938,0.59224,40,1,15,20jul15_18may15_PWD_m1_sp1_19_rev_15,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,4.9467,0.036863,0.65797,134,2,2,20jul15_18may15_PWD_m1_sp1_19_rev_2,1,1,1,,2,12,125,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,7.1758,0.056219,0.69601,128,3,3,20jul15_18may15_PWD_m1_sp1_19_rev_3,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,5.596,0.099827,0.5933,56,1,4,20jul15_18may15_PWD_m1_sp1_19_rev_4,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,11.3043,0.15939,0.64445,71,3,6,20jul15_18may15_PWD_m1_sp1_19_rev_6,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,9.0374,0.12114,0.70689,75,1,7,20jul15_18may15_PWD_m1_sp1_19_rev_7,1,1,1,,1,56,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_19_rev,0.31746,0.0042264,0.59669,75,2,9,20jul15_18may15_PWD_m1_sp1_19_rev_9,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,1.5213,0.017308,0.8119,88,6,1,20jul15_18may15_PWD_m1_sp1_20.2_rev_1,1,0,,,1,79,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.1186,0.045933,0.67804,90,4,10,20jul15_18may15_PWD_m1_sp1_20.2_rev_10,1,0,,,1,42,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.0164,0.034392,0.71442,88,2,11,20jul15_18may15_PWD_m1_sp1_20.2_rev_11,1,1,,,2,15,78,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.6605,0.051738,0.64459,90,10,13,20jul15_18may15_PWD_m1_sp1_20.2_rev_13,1,,,foci are faint,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,5.6677,0.084452,0.71464,67,5,14,20jul15_18may15_PWD_m1_sp1_20.2_rev_14,1,,,foci are faint,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.4147,0.058867,0.68179,75,6,16,20jul15_18may15_PWD_m1_sp1_20.2_rev_16,1,,,foci are faint,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,5.7879,0.10314,0.64627,56,3,19,20jul15_18may15_PWD_m1_sp1_20.2_rev_19,1,0,,?,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.5621,0.059204,0.77906,77,4,2,20jul15_18may15_PWD_m1_sp1_20.2_rev_2,1,0,,,1,69,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.7869,0.076169,0.66993,50,2,20,20jul15_18may15_PWD_m1_sp1_20.2_rev_20,,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,4.4925,0.045678,0.75432,98,1,3,20jul15_18may15_PWD_m1_sp1_20.2_rev_3,1,1,,,1,77,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.9743,0.043031,0.73468,92,4,4,20jul15_18may15_PWD_m1_sp1_20.2_rev_4,1,1,,,1,45,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,5.3724,0.11501,0.77506,47,5,5,20jul15_18may15_PWD_m1_sp1_20.2_rev_5,,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,3.0103,0.037837,0.77383,80,3,6,20jul15_18may15_PWD_m1_sp1_20.2_rev_6,1,0,,,1,30,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_20.2_rev,1.2698,0.013596,0.75031,93,2,7,20jul15_18may15_PWD_m1_sp1_20.2_rev_7,1,0,,,1,90,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,3.0986,0.050232,0.79032,62,1,1,20jul15_18may15_PWD_m1_sp1_21_rev_1,1,1,,,1,50,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,7.4041,0.078838,0.70538,94,2,11,20jul15_18may15_PWD_m1_sp1_21_rev_11,1,0,,,1,88,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,4,0.046763,0.69531,86,2,12,20jul15_18may15_PWD_m1_sp1_21_rev_12,1,0,,,1,58,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,3.2312,0.045272,0.71432,71,3,14,20jul15_18may15_PWD_m1_sp1_21_rev_14,1,0,,,1,47,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,4.1029,0.039389,0.71411,104,3,15,20jul15_18may15_PWD_m1_sp1_21_rev_15,1,0,,,2,25,98,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,3.2836,0.025173,0.76812,130,3,2,20jul15_18may15_PWD_m1_sp1_21_rev_2,1,0,,,2,67,128,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,4.9883,0.031707,0.76113,157,5,3,20jul15_18may15_PWD_m1_sp1_21_rev_3,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_21_rev,1.2121,0.011829,0.7293,102,2,5,20jul15_18may15_PWD_m1_sp1_21_rev_5,1,0,,,1,77,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,4.4892,0.043118,0.72896,104,4,1,20jul15_18may15_PWD_m1_sp1_22_rev_1,1,0,,foci sorta bright,2,26,84,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,3.1856,0.059035,0.74201,54,4,10,20jul15_18may15_PWD_m1_sp1_22_rev_10,1,0,,,1,30,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,3.4774,0.039229,0.71988,89,6,11,20jul15_18may15_PWD_m1_sp1_22_rev_11,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,2.4242,0.021765,0.67422,111,9,13,20jul15_18may15_PWD_m1_sp1_22_rev_13,1,0,0,,2,26,91,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,3.1889,0.032977,0.70446,97,7,14,20jul15_18may15_PWD_m1_sp1_22_rev_14,1,0,0,,2,20,72,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,9.552,0.12207,0.6589,78,2,16,20jul15_18may15_PWD_m1_sp1_22_rev_16,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,4.9368,0.045533,0.6907,108,4,17,20jul15_18may15_PWD_m1_sp1_22_rev_17,1,0,0,,2,32,104,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,5.4392,0.062581,0.65997,87,3,18,20jul15_18may15_PWD_m1_sp1_22_rev_18,1,0,0,,2,17,78,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,3.7513,0.037999,0.75094,99,7,2,20jul15_18may15_PWD_m1_sp1_22_rev_2,1,0,0,,2,21,82,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,4.5625,0.060186,0.74257,76,6,3,20jul15_18may15_PWD_m1_sp1_22_rev_3,1,0,0,,1,22,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,6.1938,0.090015,0.74093,69,2,4,20jul15_18may15_PWD_m1_sp1_22_rev_4,1,0,0,,1,62,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,6.6277,0.061597,0.71002,108,6,5,20jul15_18may15_PWD_m1_sp1_22_rev_5,1,0,0,,1,55,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,2.6029,0.034221,0.74608,76,5,8,20jul15_18may15_PWD_m1_sp1_22_rev_8,1,0,0,,1,62,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_22_rev,5.093,0.052545,0.71861,97,6,9,20jul15_18may15_PWD_m1_sp1_22_rev_9,1,0,0,,2,26,87,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,3.7117,0.038755,0.8223,96,5,1,20jul15_18may15_PWD_m1_sp1_24_rev_1,1,0,,,2,14,84,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,3.8462,0.031075,0.75524,124,2,12,20jul15_18may15_PWD_m1_sp1_24_rev_12,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,3.8533,0.041704,0.66313,92,3,16,20jul15_18may15_PWD_m1_sp1_24_rev_16,1,0,,,1,71,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,3.5298,0.10291,0.66948,34,5,17,20jul15_18may15_PWD_m1_sp1_24_rev_17,0,0,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,4.7786,0.039454,0.6207,121,3,19,20jul15_18may15_PWD_m1_sp1_24_rev_19,1,0,,,2,52,105,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,4.7157,0.059292,0.74578,80,8,2,20jul15_18may15_PWD_m1_sp1_24_rev_2,1,0,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,5.8023,0.067639,0.75865,86,4,4,20jul15_18may15_PWD_m1_sp1_24_rev_4,1,0,,,2,25,77,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,4.597,0.043575,0.74745,105,4,5,20jul15_18may15_PWD_m1_sp1_24_rev_5,1,0,,,2,20,80,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,3.5783,0.028144,0.75437,127,6,8,20jul15_18may15_PWD_m1_sp1_24_rev_8,1,0,,,1,70,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_24_rev,6.1427,0.13361,0.69806,46,4,9,20jul15_18may15_PWD_m1_sp1_24_rev_9,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,4.1293,0.054678,0.78359,76,1,1,20jul15_18may15_PWD_m1_sp1_28_rev_1,1,1,,,1,49,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,4.2163,0.075464,0.70145,56,1,10,20jul15_18may15_PWD_m1_sp1_28_rev_10,1,1,,,1,27,,,18may15_PWD_m1,PWD,male,PWD male
20jul15_18may15_PWD_m1_sp1_28_rev,5.489,0.069378,0.71772,79,1,17,20jul15_18may15_PWD_m1_sp1_28_rev_17,0,,,,,,,,18may15_PWD_m1,PWD,male,PWD male
