,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
,21jun18_18feb18_LEW_m3_sp2_5_rev.tif,24861-32561-28924.tif,4,20,20,no,yes,1,0,
,21jun18_18feb18_LEW_m3_sp2_9_rev.tif,26341-7331-29447.tif,4,20,20,no,yes,2,0,
,25jun18_8jun18_SPIC_m2_sp1_6_rev.tif,29917-21170-2980.tif,5,20,20,no,yes,2,0,
,9mar18_13oct17_SPRET_m1_sp1_8_rev.tif,30730-6798-11053.tif,3,20,20,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_2_rev.tif,31993-16996-121.tif,2,20,20,no,yes,2,0,
,21jun18_18feb18_LEW_m3_sp2_3_rev.tif,8483-872-14235.tif,3,20,20,no,yes,2,0,
,29aug18_30oct17_HMI_m1_sp3_7_rev.tif,8738-8262-12975.tif,4,20,20,no,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_14.1_rev.tif,10538-18349-5787.tif,4,20,21,yes,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_21.1_rev.tif,13958-18185-15757.tif,3,20,21,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_14_rev.tif,1604-11602-6667.tif,4,20,21,no,yes,0,0,
,5jun18_21may18_KAZ_m2_sp1_9.2_rev.tif,17144-15250-4031.tif,5,20,21,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_1_rev.tif,17746-31387-19953.tif,2,20,21,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_20_rev.tif,21859-2534-15562.tif,4,20,21,no,yes,0,0,possible duplicate
,27jun18_8jun18_AST_m1_sp1_13.1_rev.tif,22070-15202-8326.tif,3,20,21,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_8_rev.tif,22602-20034-6561.tif,4,20,21,no,yes,1,0,
,29aug18_7aug18_AST_m1_sp1_29_rev.tif,2840-30617-4570.tif,5,20,21,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_19.2_rev.tif,30044-6699-10859.tif,1,20,21,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_8.1_rev.tif,32479-1597-2754.tif,2,20,21,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_32_rev.tif,4750-922-4461.tif,5,20,21,no,yes,2,0,1 chrm broken
,13sep18_28jun18_MOLF_m1_sp1_5.1_rev.tif,4751-439-25399.tif,4,20,21,no,yes,2,0,
,9mar18_13oct17_SPRET_m1_sp1_4.2_rev.tif,6299-655-21466.tif,3,20,21,no,yes,0,0,
,20apr18_18feb18_LEW_m3_sp2_7_rev.tif,22053-14680-14991.tif,4,20,21,no,yes,1,0,
,25jun18_8jun18_SPIC_m2_sp1_1.1_rev.tif,23174-21650-13190.tif,5,20,21,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_13_rev.tif,23462-6078-3295.tif,4,20,21,yes,yes,2,0,
,29aug18_30oct17_HMI_m1_sp3_11_rev.tif,2376-29656-26206.tif,5,20,21,no,yes,1,0,
,13sep18_28jun18_MOLF_m1_sp1_25.1_rev.tif,6024-9104-2832.tif,3,20,21,no,yes,2,0,
,5jun18_21may18_KAZ_m2_sp1_20_rev.tif,10954-15964-14659.tif,1,20,21,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_13.1_rev.tif,13467-13792-6897.tif,4,20,21,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_11.2_rev.tif,14811-31870-20701.tif,5,20,21,no,yes,2,0,
,3jul18_19may18_KAZ_m1_sp1_8_rev.tif,15528-32724-21053.tif,1,20,21,no,yes,0,0,
,21jun18_18feb18_LEW_m3_sp2_14_rev.tif,17303-21351-12494.tif,1,20,21,yes,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_4.2_rev.tif,19128-22368-2604.tif,5,20,21,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_19_rev.tif,21845-20440-701.tif,1,20,21,no,yes,0,0,
,21jun18_18feb18_LEW_m3_sp2_2_rev.tif,21871-14330-8053.tif,2,20,21,yes,no,2,0,
,3mar15_13jan17_LEW_m1_sp1_24.1_rev.tif,22393-16117-21938.tif,4,20,21,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_7_rev.tif,24865-2203-18222.tif,2,20,21,no,yes,1,0,
,29aug18_30oct17_HMI_m1_sp3_10_rev.tif,24980-5880-15651.tif,4,20,21,no,yes,1,0,
,9jun18_8may17_LEW_m1_sp1_19.2_rev.tif,29013-16681-13942.tif,2,20,21,yes,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_3_rev.tif,3793-11073-25411.tif,3,20,21,no,yes,2,0,
,22jun18_24aug17_PERC_m1_sp1_5.2_rev.tif,5742-7441-19105.tif,2,20,21,no,yes,1,0,
,21jun18_18feb18_LEW_m3_sp2_7_rev.tif,601-7256-7125.tif,4,20,21,no,yes,0,0,
,22jun18_24aug17_PERC_m1_sp1_12_rev.tif,8914-24850-22093.tif,3,20,21,no,yes,1,0,
,9mar18_13oct17_SPRET_m1_sp1_13_rev.tif,13665-29838-29166.tif,1,20,22,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_19.1_rev.tif,14905-14429-13967.tif,1,20,22,no,yes,1,0,telomere end join
,13sep18_28jun18_MOLF_m1_sp1_23_rev.tif,16166-25583-19174.tif,5,20,22,no,yes,2,1,
,27jun18_8jun18_AST_m1_sp1_14.3_rev.tif,16515-30767-13504.tif,4,20,22,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_27.4_rev.tif,16531-28836-8297.tif,1,20,22,no,yes,0,0,
,31aug18_1mar18_CAROLI_m1_sp3_12_rev.tif,1767-4306-3023.tif,1,20,22,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_24.2_rev.tif,17757-18541-16378.tif,4,20,22,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_11_rev.tif,18104-26026-6787.tif,4,20,22,no,yes,0,0,
,14jun18_11jan18_SPRET_m1_sp1_14_rev.tif,18349-24981-17747.tif,1,20,22,no,yes,0,0,
,5jun18_21may18_KAZ_m2_sp1_10.3_rev.tif,18381-11349-5648.tif,3,20,22,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_6_rev.tif,18681-3479-16814.tif,4,20,22,no,yes,1,0,
,9mar18_13oct17_SPRET_m1_sp1_11_rev.tif,23517-26871-2367.tif,2,20,22,no,yes,0,0,
,13sep18_28jun18_MOLF_m1_sp1_4.2_rev.tif,2485-6514-31652.tif,3,20,22,no,yes,0,0,
,3mar15_13jan17_LEW_m1_sp1_2_rev.tif,25240-16688-6747.tif,3,20,22,no,yes,1,0,
,22jun18_24aug17_PERC_m1_sp1_31_rev.tif,25266-1460-13967.tif,2,20,22,no,yes,1,0,
,3jul18_19may18_KAZ_m1_sp1_22.2_rev.tif,26022-21894-28639.tif,2,20,22,no,yes,0,0,
,5jun18_21may18_KAZ_m2_sp1_6_rev.tif,27595-12443-11105.tif,3,20,22,no,yes,0,0,
,9jun18_8may17_LEW_m1_sp1_21_rev.tif,27763-1186-4208.tif,4,20,22,no,yes,0,0,
,5jun18_21may18_KAZ_m2_sp1_4_rev.tif,2905-3432-15027.tif,4,20,22,no,yes,1,0,
,5jun18_21may18_KAZ_m2_sp1_10.2_rev.tif,31850-5510-32603.tif,3,20,22,no,yes,0,0,
,3sep18_27aug18_HMI_m1_sp1_23.1_rev.tif,3950-21187-17977.tif,4,20,22,no,yes,0,0,
,9mar18_13oct17_SPRET_m1_sp1_3.2_rev.tif,4765-8235-5174.tif,2,20,22,no,yes,1,0,
