Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch17,,3sep19_20feb16_G_f2_sp1_2_rev.tif,17936-26815-6186.tif,4,20,30,,,0,1,
Batch17,,3sep19_20feb16_G_f2_sp1_3_rev.tif,23794-2350-31150.tif,2,20,28,,,0,0,
Batch17,,3sep19_20feb16_G_f2_sp1_4_rev.tif,22984-12576-24273.tif,5,20,34,,,1,0,
Batch17,,3sep19_20feb16_G_f2_sp1_5_rev.tif,10877-14701-9774.tif,2,20,30,,,0,0,
Batch17,,3sep19_20feb16_G_f2_sp1_6_rev.tif,1258-25773-20657.tif,5,20,25,,,0,1,
Batch17,,3sep19_20feb16_G_f2_sp1_8_rev.tif,11564-11991-14960.tif,2,20,27,,,1,0,
Batch17,,3sep19_20feb16_G_f2_sp1_9_rev.tif,9223-18314-27610.tif,4,20,32,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_11_rev.tif,851-23771-10458.tif,5,20,34,,,2,1,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_12_rev.tif,20938-11296-27101.tif,5,20,24,,,4,3,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_13_rev.tif,9687-16392-15875.tif,4,20,29,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_14_rev.tif,31132-5287-20149.tif,4,20,23,,,3,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_16_rev.tif,24811-854-605.tif,4,20,30,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_17_rev.tif,15906-23859-21006.tif,4,20,31,,,3,1,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_19_rev.tif,25026-31368-24706.tif,3,20,27,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_20_rev.tif,17888-5973-2042.tif,4,20,22,,,1,1,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_21_rev.tif,2544-16274-1680.tif,4,20,26,,,1,3,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_23_rev.tif,1133-24324-7767.tif,4,20,28,,,3,2,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_24_rev.tif,22600-21289-30490.tif,5,20,30,,,3,1,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_26.1_rev.tif,24955-9196-2888.tif,4,20,26,,,2,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_28_rev.tif,28379-17948-3480.tif,5,20,25,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_29_rev.tif,5593-19883-11876.tif,5,20,29,,,2,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_3.1_rev.tif,17883-7163-10173.tif,5,20,28,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_31.1_rev.tif,5067-15910-31414.tif,5,20,25,,,3,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_32_rev.tif,12689-10506-2418.tif,2,20,32,,,0,1,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_34_rev.tif,30612-2684-32392.tif,4,20,37,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_35_rev.tif,15304-6349-24736.tif,5,20,24,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_39_rev.tif,12595-26962-23842.tif,5,20,24,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_40_rev.tif,5146-17192-22670.tif,4,20,36,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_41_rev.tif,5466-31218-1379.tif,4,20,20,,,2,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_42_rev.tif,22741-22757-5745.tif,2,20,24,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_43_rev.tif,24008-7235-9728.tif,4,20,29,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_45_rev.tif,28976-28312-20715.tif,2,20,25,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_46.1_rev.tif,29698-24444-17917.tif,4,20,26,,,2,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_46.3_rev.tif,25115-32655-28599.tif,5,20,28,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_47_rev.tif,11235-24290-9999.tif,4,20,25,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_49_rev.tif,9212-522-10704.tif,5,20,27,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_5.1_rev.tif,27486-16386-27225.tif,4,20,30,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_51_rev.tif,16477-27539-23537.tif,5,20,23,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_52_rev.tif,2179-20152-2443.tif,5,20,29,,,1,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_6_rev.tif,7473-4241-31593.tif,4,20,29,,,0,0,
Batch17,,4nov19_29oct19_MOLF_f1_sp2_9_rev.tif,15405-17769-6346.tif,4,20,25,,,1,0,
Batch17,X,22jul19_26oct18_SKIVE_f3_sp1_1_rev.tif,18550-18290-17782.tif,,,,,,,,
