Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO crop,XY paired,achiasmate,asynased,notes
Batch0,,15mar16_16jan16_G_f2_sp1_7_rev.tif,20692-1059-15173.tif,5,20,26,no,na,0,0,broken SC
Batch0,,15mar16_16jan16_G_f2_sp1_8_rev.tif,23263-17539-10223.tif,1,20,26,no,na,0,0,
Batch0,,10jul15_16jun15_WSB_f4_sp1_14_rev.tif,24747-10927-12782.tif,5,20,22,no,na,0,0,
Batch0,,10jul15_16jun15_WSB_f4_sp1_3_rev.tif,13588-18998-28090.tif,4,20,26,no,na,0,0,several broken SC
Batch0,,10jul15_16jun15_WSB_f4_sp1_5_rev.tif,24033-13065-25008.tif,3,20,25,no,na,0,0,several broken SC
Batch0,,6may15_17apr15_PWD_f1_sp1_10_rev.tif,11470-27170-3339.tif,5,20,28,no,na,0,0,higher background
Batch0,,6may15_17apr15_PWD_f1_sp1_12_rev.tif,25391-25385-3293.tif,2,20,26,no,na,0,0,
Batch0,,6may15_17apr15_PWD_f1_sp1_13_rev.tif,18249-5148-4433.tif,2,20,29,no,na,0,0,
Batch0,,6may15_17apr15_PWD_f1_sp1_28_rev.tif,26752-2611-9954.tif,3,20,25,no,na,0,0,
Batch0,,6may15_17apr15_PWD_f1_sp1_34_rev.tif,22360-14345-11785.tif,3,20,26,no,no,0,0,
Batch0,,6may15_17apr15_PWD_f1_sp1_35_rev.tif,26813-29626-11754.tif,3,20,25,no,na,0,0,
Batch0,,6may15_17apr15_PWD_f1_sp1_6_rev.tif,31933-4565-3630.tif,2,20,31,no,na,0,0,
Batch0,,9aug15_17apr15_PWD_f2_sp1_10.1_rev.tif,17567-29165-22022.tif,5,20,29,no,na,0,0,some broken SC
Batch0,,9aug15_17apr15_PWD_f2_sp1_10.2_rev.tif,8035-30019-25833.tif,4,20,22,yes,na,0,0,several broken SC
Batch0,,9aug15_17apr15_PWD_f2_sp1_12_rev.tif,22594-8992-26182.tif,1,20,33,no,na,0,0,
