fileName,chromosomeLength,centromere_ABS_Position,centromere_PER_Position,boxNumber,Obj.ID,SC.pass,foci.pass,curated(1pass.0fail),curation.notes,hand.foci.count,Foci1,Foci2,Foci3,
27mar16_6mar16_PWD_m1_sp1_4_rev,108,5.0714,0.04687,10,27mar16_6mar16_PWD_m1_sp1_4_rev_10,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,51,5.6318,0.10961,11,27mar16_6mar16_PWD_m1_sp1_4_rev_11,1,1,1,,1,46,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,103,5.7848,0.056172,12,27mar16_6mar16_PWD_m1_sp1_4_rev_12,1,1,1,,2,31,82,,
27mar16_6mar16_PWD_m1_sp1_4_rev,49,5.1772,0.10459,13,27mar16_6mar16_PWD_m1_sp1_4_rev_13,1,1,1,,1,46,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,60,3.613,0.060181,14,27mar16_6mar16_PWD_m1_sp1_4_rev_14,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,72,3.9481,0.054479,15,27mar16_6mar16_PWD_m1_sp1_4_rev_15,1,1,1,,1,50,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,72,4.1846,0.057973,16,27mar16_6mar16_PWD_m1_sp1_4_rev_16,1,1,1,,1,55,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,53,8.9359,0.16862,17,27mar16_6mar16_PWD_m1_sp1_4_rev_17,1,1,1,,1,31,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,74,5.0877,0.069087,2,27mar16_6mar16_PWD_m1_sp1_4_rev_2,,,,broken up segmentation,,,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,83,4.5735,0.055154,3,27mar16_6mar16_PWD_m1_sp1_4_rev_3,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,73,3.8467,0.052392,4,27mar16_6mar16_PWD_m1_sp1_4_rev_4,1,0,0,,1,64,,,
27mar16_6mar16_PWD_m1_sp1_4_rev,109,4.2138,0.038662,5,27mar16_6mar16_PWD_m1_sp1_4_rev_5,1,1,1,,2,22,96,,
27mar16_6mar16_PWD_m1_sp1_4_rev,60,3.5808,0.059489,6,27mar16_6mar16_PWD_m1_sp1_4_rev_6,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,109,6.7944,0.062308,1,27mar16_6mar16_PWD_m1_sp1_5_rev_1,1,0,0,,2,25,61,,
27mar16_6mar16_PWD_m1_sp1_5_rev,62,1.7143,0.02761,12,27mar16_6mar16_PWD_m1_sp1_5_rev_12,1,0,0,,1,26,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,115,2.9719,0.025949,13,27mar16_6mar16_PWD_m1_sp1_5_rev_13,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,97,4.8382,0.049788,14,27mar16_6mar16_PWD_m1_sp1_5_rev_14,1,0,0,,1,23,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,39,2.5,0.063365,15,27mar16_6mar16_PWD_m1_sp1_5_rev_15,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,50,6.1965,0.12503,16,27mar16_6mar16_PWD_m1_sp1_5_rev_16,1,0,0,,1,36,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,86,5.1717,0.060262,18,27mar16_6mar16_PWD_m1_sp1_5_rev_18,1,0,0,,1,12,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,80,5.3015,0.066086,2,27mar16_6mar16_PWD_m1_sp1_5_rev_2,1,0,0,,1,66,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,95,8.493,0.089571,3,27mar16_6mar16_PWD_m1_sp1_5_rev_3,1,0,0,,1,58,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,91,6.13,0.067476,4,27mar16_6mar16_PWD_m1_sp1_5_rev_4,1,,,,1?,72,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,66,8.286,0.12508,5,27mar16_6mar16_PWD_m1_sp1_5_rev_5,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,126,10.113,0.080439,7,27mar16_6mar16_PWD_m1_sp1_5_rev_7,0,,,,,,,,
27mar16_6mar16_PWD_m1_sp1_5_rev,99,3.4182,0.034657,9,27mar16_6mar16_PWD_m1_sp1_5_rev_9,1,0,0,,1,32,,,
6mar15_1mar15_PWD_m1_sp4_1.1_rev,51,10,0.19525,1,6mar15_1mar15_PWD_m1_sp4_1.1_rev_1,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_1.1_rev,81,2.715,0.033371,11,6mar15_1mar15_PWD_m1_sp4_1.1_rev_11,1,0,0,,2,63,69,,
6mar15_1mar15_PWD_m1_sp4_1.1_rev,61,4.3873,0.07174,12,6mar15_1mar15_PWD_m1_sp4_1.1_rev_12,1,1,1,,1,31,,,
6mar15_1mar15_PWD_m1_sp4_1.1_rev,31,4.2684,0.13794,4,6mar15_1mar15_PWD_m1_sp4_1.1_rev_4,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_1.1_rev,116,3.5825,0.030987,8,6mar15_1mar15_PWD_m1_sp4_1.1_rev_8,1,0,0,,2,65,111,,
6mar15_1mar15_PWD_m1_sp4_1.1_rev,68,8.4322,0.12421,9,6mar15_1mar15_PWD_m1_sp4_1.1_rev_9,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,101,3.6982,0.036448,1,6mar15_1mar15_PWD_m1_sp4_2_rev_1,1,0,0,,3,29,34,95,
6mar15_1mar15_PWD_m1_sp4_2_rev,135,3.6883,0.027314,11,6mar15_1mar15_PWD_m1_sp4_2_rev_11,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,109,9.0234,0.08246,13,6mar15_1mar15_PWD_m1_sp4_2_rev_13,1,0,0,,2,46,102,,
6mar15_1mar15_PWD_m1_sp4_2_rev,73,5.1037,0.069919,15,6mar15_1mar15_PWD_m1_sp4_2_rev_15,1,0,0,,1,42,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,89,2.4615,0.02766,16,6mar15_1mar15_PWD_m1_sp4_2_rev_16,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,58,5.8372,0.10151,3,6mar15_1mar15_PWD_m1_sp4_2_rev_3,1,0,0,,1,49,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,59,4.1823,0.070958,4,6mar15_1mar15_PWD_m1_sp4_2_rev_4,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,53,2.3881,0.044639,5,6mar15_1mar15_PWD_m1_sp4_2_rev_5,1,0,0,,1,28,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,50,4.0956,0.08129,7,6mar15_1mar15_PWD_m1_sp4_2_rev_7,0,,,,,,,,
6mar15_1mar15_PWD_m1_sp4_2_rev,88,4.5203,0.051093,8,6mar15_1mar15_PWD_m1_sp4_2_rev_8,1,0,0,,2,16,63,,
