Batch,,Original Name,Random Name ,quality,n ,nMLH1.foci,REDO.crop,XY.paired,achiasmate,asynased,notes
Batch9,,16mar18_11jan18_KAZ_m1_sp1_16_rev.tif,3292-27396-30997.tif,3,20,19,no,yes,2,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_24_rev.tif,3553-13928-22915.tif,3,20,23,no,yes,1,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_8_rev.tif,3792-27889-30459.tif,4,20,21,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_20_rev.tif,3830-13727-66.tif,4,20,21,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_23_rev.tif,3905-22675-16318.tif,2,20,19,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_17_rev.tif,4013-29665-31321.tif,3,20,18,no,yes,2,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_5_rev.tif,4245-13706-2608.tif,1,20,23,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_15.7_rev.tif,4309-7212-31696.tif,4,20,23,no,no,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_21.5_rev.tif,4406-30659-6367.tif,5,20,18,no,yes,1,0,
Batch9,,16mar18_11jan18_KAZ_m2_sp1_6_rev.tif,4524-5868-17200.tif,5,20,17,no,yes,2,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_3_rev.tif,4579-1602-8080.tif,3,20,24,no,yes,1,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_12.3_rev.tif,4611-5199-32610.tif,4,20,21,no,no,1,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_22_rev.tif,464-26310-16816.tif,2,20,25,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_11_rev.tif,4651-16739-3408.tif,5,20,19,no,yes,3,0,
Batch9,,27mar16_6mar16_G_m3_sp1_10.1_rev.tif,4708-10888-23605.tif,2,20,25,no,yes,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_1_rev.tif,4729-8045-12447.tif,2,20,23,no,yes,0,1,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_4_rev.tif,4765-24585-25435.tif,2,20,22,yes,yes,1,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_13.1_rev.tif,4767-2913-9637.tif,1,20,32,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_14_rev.tif,4779-25945-27067.tif,1,20,22,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_10_rev.tif,4864-32745-17877.tif,3,20,25,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_15.3_rev.tif,4921-12791-3197.tif,1,20,21,yes,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_6.1_rev.tif,5145-19849-26769.tif,1,20,23,no,yes,0,1,possible duplicate
Batch9,,10jun15_24mar15_G_m1_sp1_7_rev.tif,5241-12273-13344.tif,2,20,22,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_10.1_rev.tif,5390-9910-18917.tif,3,20,19,no,yes,1,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_7_rev.tif,5400-20515-12940.tif,3,20,24,no,yes,0,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_3_rev.tif,5635-12010-25904.tif,2,20,20,yes,yes,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_16_rev.tif,5803-10606-6629.tif,3,20,24,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_23.2_rev.tif,6129-2385-30731.tif,3,20,19,no,yes,1,0,
Batch9,,10jun15_24mar15_G_m1_sp1_9_rev.tif,6201-24417-5744.tif,2,20,21,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_15.2_rev.tif,624-28427-769.tif,2,20,21,no,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_14_rev.tif,6584-9629-24646.tif,2,20,23,no,no,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_8_rev.tif,6591-27652-31427.tif,2,20,22,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_14_rev.tif,676-15471-17820.tif,2,20,23,yes,yes,0,0,
Batch9,,10jun15_24mar15_G_m1_sp1_29_rev.tif,7103-30628-23682.tif,2,20,21,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_28.2_rev.tif,7220-8426-1461.tif,3,20,21,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_22.3_rev.tif,7355-26839-27561.tif,3,20,21,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_13.2_rev.tif,7360-18551-12026.tif,1,20,21,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_26.1_rev.tif,7506-23962-8170.tif,3,20,20,no,yes,1,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_11_rev.tif,7708-14796-1493.tif,3,20,21,no,yes,1,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_4_rev.tif,7747-14218-13055.tif,2,20,32,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_16.2_rev.tif,7747-5417-13012.tif,2,20,32,no,yes,0,0,
Batch9,,7feb18_11jan18_KAZ_m4_sp1_13_rev.tif,7805-18191-18490.tif,3,20,20,no,yes,2,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_12.1_rev.tif,781-26774-8625.tif,2,20,29,no,yes,1,0,
Batch9,,27mar16_6mar16_G_m3_sp1_20_rev.tif,7832-22153-18780.tif,1,20,26,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_8_rev.tif,7872-3070-30883.tif,1,20,35,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_22_rev.tif,7886-23210-13384.tif,3,20,22,no,yes,1,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_16_rev.tif,7995-24758-145.tif,2,20,21,no,yes,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_7_rev.tif,8091-16168-17094.tif,4,20,23,no,yes,0,0,
Batch9,,27mar16_6mar16_G_m3_sp1_8_rev.tif,821-19388-27164.tif,1,20,22,no,yes,0,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_13_rev.tif,8216-12369-32100.tif,2,20,20,no,yes,2,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_13_rev.tif,8493-10226-20387.tif,3,20,21,yes,yes,1,0,
Batch9,,5jul17_8may17_LEW_m1_sp1_26_rev.tif,8517-10653-30056.tif,2,20,21,no,yes,0,0,
Batch9,,11feb18_1feb18_MSM_m1_sp1_6_rev.tif,8538-31274-2000.tif,2,20,28,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m2_sp1_5_rev.tif,8989-15708-2955.tif,4,20,20,no,yes,2,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_14_rev.tif,9245-25588-28796.tif,2,20,24,no,yes,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_21.3_rev.tif,9292-10415-19254.tif,3,20,26,no,no,0,0,
Batch9,,6mar18_1feb18_LEW_m1_sp1_6.2_rev.tif,9336-24041-4646.tif,4,20,21,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_17_rev.tif,9342-25154-16873.tif,3,20,20,no,yes,0,1,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_18.1_rev.tif,9381-815-26131.tif,2,20,19,no,yes,2,0,
Batch9,,10jun15_24mar15_G_m1_sp1_24_rev.tif,94-15018-32670.tif,2,20,22,yes,no,0,0,
Batch9,,26jan18_11jan18_KAZ_m3_sp1_9.2_rev.tif,9452-21196-10570.tif,5,20,17,no,yes,3,0,bad signal
Batch9,,11feb18_1feb18_MSM_m1_sp1_21.1_rev.tif,9468-15928-1865.tif,3,20,26,no,yes,1,0,
Batch9,,9mar18_11jan18_WxL.F1_m1_sp1_6_rev.tif,9565-7525-22995.tif,2,20,24,no,yes,0,0,
Batch9,,22feb18_1feb18_KAZ_m1_sp1_7_rev.tif,9658-6610-4951.tif,3,20,19,no,yes,0,0,
Batch9,,16mar18_11jan18_KAZ_m1_sp1_26.1_rev.tif,970-31478-19979.tif,3,20,19,no,yes,3,0,
