"fileName","chromosomeLength","centromere_ABS_Position","centromere_PER_Position","boxNumber","Obj.ID","SC.pass","foci.pass","curated.1pass.0fail.","curation.notes","hand.foci.count","Foci1","Foci2","Foci3","notes","mouse","category"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",72,4.2623,0.059437,8,"12oct18_26sep18_CZECH_m1_sp1_26_rev_8","1","1","","","2","10","49","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_26_rev",82,5,0.061153,9,"12oct18_26sep18_CZECH_m1_sp1_26_rev_9","1","0","","","1","50","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",82,6.5769,0.080229,10,"12oct18_26sep18_CZECH_m1_sp1_27_rev_10","1","0","","","1","52","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",55,6.8803,0.12552,11,"12oct18_26sep18_CZECH_m1_sp1_27_rev_11","1","1","","","1","29","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",76,5.0186,0.065877,12,"12oct18_26sep18_CZECH_m1_sp1_27_rev_12","1","0","","","2","8","65","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",73,3.4216,0.046811,14,"12oct18_26sep18_CZECH_m1_sp1_27_rev_14","1","1","","","1","56","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",71,6.8659,0.096755,2,"12oct18_26sep18_CZECH_m1_sp1_27_rev_2","1","0","","","1","63","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",73,6.2977,0.086751,3,"12oct18_26sep18_CZECH_m1_sp1_27_rev_3","1","1","","","2","30","57","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",67,5.6482,0.084109,5,"12oct18_26sep18_CZECH_m1_sp1_27_rev_5","1","0","","","1","53","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",71,3.6667,0.051691,6,"12oct18_26sep18_CZECH_m1_sp1_27_rev_6","1","1","","","1","25","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",91,8.275,0.091308,8,"12oct18_26sep18_CZECH_m1_sp1_27_rev_8","1","0","","","1","62","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_27_rev",80,6.6998,0.083996,9,"12oct18_26sep18_CZECH_m1_sp1_27_rev_9","1","0","","","1","75","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_29_rev",84,5.0157,0.059509,14,"12oct18_26sep18_CZECH_m1_sp1_29_rev_14","1","1","","","1","56","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",95,6.7705,0.071505,11,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_11","1","0","","","2","36","87","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",65,6.744,0.10357,12,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_12","1","0","","","1","30","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",62,2.2222,0.035907,14,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_14","1","0","","","1","14","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",46,2.6471,0.058093,15,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_15","1","0","","","1","43","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",67,1.9444,0.028988,16,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_16","1","","","","","","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",81,3.0303,0.03753,3,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_3","1","0","","","1","45","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",55,0.29412,0.0053717,4,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_4","1","0","","","1","44","","","","26sep18_CZECH_m1","CZECH male"
"12oct18_26sep18_CZECH_m1_sp1_6.2_rev",104,7.1734,0.069076,6,"12oct18_26sep18_CZECH_m1_sp1_6.2_rev_6","1","0","","","3","12","64","92","","26sep18_CZECH_m1","CZECH male"
