anon batch, rand_name, bin_size, skel_size
anon_batch0, 15811-10608-29775.tif, 22522, 2192
anon_batch0, 15822-21714-9275.tif, 19374, 1840
anon_batch0, 15822-24913-26161.tif, 27586, 2586
anon_batch0, 15840-8406-5906.tif, 19322, 1844
anon_batch0, 15847-23547-8473.tif, 14956, 1517
anon_batch0, 15896-21931-11803.tif, 18566, 1718
anon_batch0, 15959-17138-23367.tif, 15975, 1571
anon_batch0, 16066-21108-27360.tif, 14021, 1427
anon_batch0, 16092-21415-11925.tif, 15665, 1336
anon_batch0, 16137-21311-16156.tif, 28351, 2793
anon_batch0, 16228-2733-7091.tif, 21020, 2090
anon_batch0, 16282-10827-1487.tif, 19092, 1792
anon_batch0, 1632-5174-19413.tif, 18828, 1756
anon_batch0, 1639-13398-5893.tif, 14300, 1351
anon_batch0, 16398-27606-4904.tif, 20684, 1885
anon_batch0, 1649-8508-18504.tif, 18116, 1572
anon_batch0, 16502-8773-127.tif, 11586, 1027
anon_batch0, 16534-2418-21492.tif, 15703, 1366
anon_batch0, 16566-28743-30886.tif, 23336, 2218
anon_batch0, 16568-7932-11874.tif, 16715, 1456
anon_batch0, 16570-523-25292.tif, 11615, 1134
anon_batch0, 16621-9220-5788.tif, 12634, 1159
anon_batch0, 16624-2194-10956.tif, 16647, 1490
anon_batch0, 16799-26270-8543.tif, 15341, 1592
anon_batch0, 16828-21829-31535.tif, 14154, 1286
anon_batch0, 16876-31092-31015.tif, 22580, 1990
anon_batch0, 16897-3604-8503.tif, 38316, 38316
anon_batch0, 16915-31855-30423.tif, 14742, 1493
anon_batch0, 16925-21775-19267.tif, 18622, 1779
anon_batch0, 16981-14405-8076.tif, 18749, 1831
anon_batch0, 16997-11517-7360.tif, 23562, 2163
anon_batch0, 17006-3466-27692.tif, 25130, 2319
anon_batch0, 17014-28294-30861.tif, 11785, 1161
anon_batch0, 17041-22821-10302.tif, 12124, 1131
anon_batch0, 17043-16276-31253.tif, 16653, 1733
anon_batch0, 17070-12066-18812.tif, 17533, 1799
anon_batch0, 17095-28125-10620.tif, 20236, 1955
anon_batch0, 17197-18563-32.tif, 15328, 1477
anon_batch0, 17214-2751-26848.tif, 39147, 39147
anon_batch0, 17221-14200-25943.tif, 18783, 1871
anon_batch0, 1723-29571-32688.tif, 20978, 2029
anon_batch0, 17283-8633-1133.tif, 19164, 1771
anon_batch0, 17292-21756-8550.tif, 12163, 1100
anon_batch0, 17350-4933-11854.tif, 14852, 1371
anon_batch0, 17354-27069-22820.tif, 22190, 2208
anon_batch0, 17395-18677-15696.tif, 15809, 1568
anon_batch0, 17421-6092-8157.tif, 20025, 1725
anon_batch0, 17430-2684-10067.tif, 18813, 1866
anon_batch0, 17507-31561-21722.tif, 25361, 2475
anon_batch0, 17512-2349-29505.tif, 15238, 1542
anon_batch0, 1753-24670-28830.tif, 16840, 1523
anon_batch0, 17550-22259-25910.tif, 17781, 1492
anon_batch0, 17567-29165-22022.tif, 17356, 1618
anon_batch0, 17705-4165-6072.tif, 16132, 1586
anon_batch0, 17709-30167-12489.tif, 14449, 1452
anon_batch0, 17727-32366-10779.tif, 20783, 1912
anon_batch0, 17733-32423-1932.tif, 24688, 2331
anon_batch0, 17735-10291-2660.tif, 17534, 1713
anon_batch0, 17773-27782-19866.tif, 17943, 1768
anon_batch0, 17777-3099-14110.tif, 28478, 2895
anon_batch0, 17813-25177-31318.tif, 17638, 1725
anon_batch0, 17848-31355-22285.tif, 18037, 1879
anon_batch0, 17890-17166-23806.tif, 20769, 1976
anon_batch0, 17986-25391-31102.tif, 19259, 1901
anon_batch0, 17991-3505-28336.tif, 20978, 2038
anon_batch0, 18043-8111-6751.tif, 18007, 1614
anon_batch0, 18103-14440-22025.tif, 19399, 1723
anon_batch0, 1815-11900-13115.tif, 15691, 1405
anon_batch0, 18158-21823-3889.tif, 20964, 1980
anon_batch0, 18192-3104-18451.tif, 20205, 1924
anon_batch0, 18210-28519-28863.tif, 22558, 1893
anon_batch0, 1824-6757-5160.tif, 13159, 1323
anon_batch0, 18249-5148-4433.tif, 23653, 2122
anon_batch0, 1833-9480-21463.tif, 15585, 1597
anon_batch0, 18419-10160-8668.tif, 14029, 1375
anon_batch0, 18435-12596-27766.tif, 26453, 2642
anon_batch0, 18436-5810-13655.tif, 14676, 1266
anon_batch0, 18453-22289-19345.tif, 27550, 2709
anon_batch0, 18516-29564-21433.tif, 16346, 1482
anon_batch0, 18522-14499-11308.tif, 17849, 1664
anon_batch0, 18620-7686-22056.tif, 19236, 1885
anon_batch0, 18647-30931-20070.tif, 15794, 1546
anon_batch0, 18696-14763-4525.tif, 14896, 1261
